Company,Ticker,"Market Cap ($B) as of Jan 15, 2020",Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,,
AppFolio,APPF,4.192,18.68,20.04,14.52,15.21,14.07,16.36,13.74,11.05,15.62,13.04,9.31,10.1,12.42,9.01,8.07,7.6,5.94,4.76,2.89,,,,,
Q2 Holdings,QTWO,4.128,12.62,11.67,8.23,11.73,11.95,12.04,11.58,8.77,11.36,11.12,9.26,7.81,9.19,8.63,8.65,7.59,8.05,8.36,7.63,8.91,8.52,10.24,,
Medallia,MDLA,4.125,6.1,4.18,,,,,,,,,,,,,,,,,,,,,,
Cornerstone OnDemand,CSOD,3.825,3.44,3.77,3.27,6.08,5.76,6.16,5.88,5.44,6.18,5.26,4.45,4.19,5.02,4.52,4.99,5.54,6.17,5.34,4.88,5.5,5.56,6.2,,
Appian,APPN,3.421,13.89,12.17,9.49,9.53,11.93,,9.49,9.13,7.26,8.87,10.07,6.96,,,,,,,,,,,,
Qualys,QLYS,3.325,12.02,12.47,10.78,10.73,10.09,12.13,12.01,11.27,13.86,13.57,12.13,10.2,9.23,7.49,7.12,6.12,7.68,6.25,5.57,7.7,6.91,10.27,,
Cloudera,CLDR,3.322,3.91,2.89,3.61,2.83,1.94,3.56,4.29,4.3,4.32,4.73,4.28,,,,,,,,,,,,,
BlackLine,BL,3.203,14.19,14.44,9.51,9.86,9.68,11.46,10.41,9.66,13.98,11.37,10.92,9.73,10.15,,,,,,,,,,,
Mimecast,MIME,3.083,6.54,5.94,5.16,6.63,5.73,7.89,8.41,6.26,8.15,8.44,7.72,6.71,7.14,7.38,6.74,5.49,5.89,,,,,,,
Pluralsight,PS,2.731,12.9,11.67,11.94,12.8,14.73,14.31,13.09,12.24,12.16,13.65,12.03,12.54,12.81,12.47,13.12,13.44,13.52,15.62,17.03,15.48,13.45,11.88,,
Box,BOX,2.464,3.86,3.36,3.18,3.65,3.64,4.65,4.84,4.31,5.93,5.85,5.87,6.05,5.43,5.22,5.45,4.86,4.14,4.82,4.29,2.53,,,,
PagerDuty,PD,1.932,10.31,8.65,7.91,,,,,,,,,,,,,,,,,,,,,
LogMeIn,LOGM,4.181,,,,,,,,,,,,,,,,,,,,,,,,
Splunk,SPLK,,12.9,9.04,9.95,8.18,9.77,10.55,10.06,8.73,9.08,10.35,9.83,8.06,7.76,8.8,8.18,9.16,10.24,9.15,8.77,11.77,16,16.38,,
Adobe,ADBE,,19.97,15.69,14.52,13.63,13.19,13.27,13.64,13.84,15.34,15.34,13.6,12.45,11.27,10.91,9.68,8.86,9.3,9.47,8.49,9.65,8.72,9.22,,
zuora,ZUO,,4.1,4.16,5.92,5.59,6.03,9.17,7.24,,,,,,,,,,,,,,,,,
intuit,INTU,,11.45,10.54,10.37,10.35,9.75,10.71,9.85,8.91,8.89,8.7,7.86,7.56,7.19,6.69,6.23,6.17,5.78,6.01,5.58,5.69,6.11,6.82,,
Citrix,CTXS,,5.57,6.01,5.93,4.97,4.41,4.59,4.75,4.95,5.48,5.3,4.86,4.76,4.23,4.43,4.68,4,4.6,4.1,3.87,3.61,2.76,2.86,,
fed funds rate,FEDFUNDS,,0.09,0.05,1.55,1.83,2.4,2.42,2.4,2.19,1.91,1.69,1.41,1.15,1.15,0.9,0.65,0.4,0.39,0.37,0.34,0.12,0.13,0.12,,
US 10yr yld,,,0.601,0.648,1.71,1.749,2.024,2.539,2.734,3.163,2.891,2.896,2.678,2.354,2.303,2.3,2.448,1.777,1.503,1.799,1.994,2.089,2.299,1.959,,
US 30yr yld,,,1.274,1.26,2.174,2.233,2.552,2.945,3.057,3.371,3.021,3.09,2.946,2.867,2.879,2.949,3.042,2.537,2.229,2.625,2.792,2.907,3.038,2.636,,
